,Country or region,Score,Lat,Lng
0,Finland,7.769,63.2467777,25.9209164
1,Denmark,7.6,55.670249,10.3333283
2,Norway,7.553999999999999,60.5000209,9.0999715
3,Iceland,7.494,64.9841821,-18.1059013
4,Netherlands,7.4879999999999995,52.5001698,5.7480821
5,Switzerland,7.48,46.7985624,8.2319736
6,Sweden,7.343,59.6749712,14.5208584
7,New Zealand,7.307,-41.5000831,172.8344077
8,Canada,7.278,61.0666922,-107.991707
9,Austria,7.246,47.2,13.2
10,Australia,7.228,-24.7761086,134.755
11,Costa Rica,7.167000000000001,10.2735633,-84.0739102
12,Israel,7.138999999999999,31.5313113,34.8667654
13,Luxembourg,7.09,49.8158683,6.1296751
14,United Kingdom,7.053999999999999,54.7023545,-3.2765753
15,Ireland,7.021,52.865196,-7.9794599
16,Germany,6.985,51.0834196,10.4234469
17,Belgium,6.922999999999999,50.6402809,4.6667145
18,United States,6.892,39.7837304,-100.4458825
19,Czech Republic,6.852,49.8167003,15.4749544
20,United Arab Emirates,6.825,24.0002488,53.9994829
21,Malta,6.726,35.8885993,14.4476911
22,Mexico,6.595,22.5000485,-100.0000375
23,France,6.5920000000000005,46.603354,1.8883335
24,Taiwan,6.446000000000001,23.9739374,120.9820179
25,Chile,6.444,-31.7613365,-71.3187697
26,Guatemala,6.436,15.6356088,-89.8988087
27,Saudi Arabia,6.375,25.6242618,42.3528328
28,Qatar,6.374,25.3336984,51.2295295
29,Spain,6.354,39.3260685,-4.8379791
30,Panama,6.321000000000001,8.559559,-81.1308434
31,Brazil,6.3,-10.3333333,-53.2
32,Uruguay,6.292999999999999,-32.8755548,-56.0201525
33,Singapore,6.2620000000000005,1.357107,103.8194992
34,El Salvador,6.252999999999999,13.8000382,-88.9140683
35,Italy,6.223,42.6384261,12.674297
36,Bahrain,6.199,26.1551249,50.5344606
37,Slovakia,6.1979999999999995,48.7411522,19.4528646
38,Trinidad & Tobago,6.192,10.8677845,-60.9821067
39,Poland,6.182,52.215933,19.134422
40,Uzbekistan,6.1739999999999995,41.32373,63.9528098
41,Lithuania,6.149,55.3500003,23.7499997
42,Colombia,6.125,2.8894434,-73.783892
43,Slovenia,6.117999999999999,46.149034549999996,14.626325753340627
44,Nicaragua,6.105,12.6090157,-85.2936911
45,Kosovo,6.1,42.5869578,20.9021231
46,Argentina,6.086,-34.9964963,-64.9672817
47,Romania,6.07,45.9852129,24.6859225
48,Cyprus,6.046,34.9823018,33.1451285
49,Ecuador,6.028,-1.3397668,-79.3666965
50,Kuwait,6.021,29.2733964,47.4979476
51,Thailand,6.007999999999999,14.8971921,100.83273
52,Latvia,5.94,56.8406494,24.7537645
53,South Korea,5.895,36.638392,127.6961188
54,Estonia,5.893,58.7523778,25.3319078
55,Jamaica,5.89,18.1850507,-77.3947693
56,Mauritius,5.888,-20.2759451,57.5703566
57,Japan,5.886,36.5748441,139.2394179
58,Honduras,5.86,15.2572432,-86.0755145
59,Kazakhstan,5.809,47.2286086,65.2093197
60,Bolivia,5.779,-17.0568696,-64.9912286
61,Hungary,5.757999999999999,47.1817585,19.5060937
62,Paraguay,5.742999999999999,-23.3165935,-58.1693445
63,Northern Cyprus,5.718,35.2245313,33.6252379
64,Peru,5.697,-6.8699697,-75.0458515
65,Portugal,5.693,40.0332629,-7.8896263
66,Pakistan,5.653,30.3308401,71.247499
67,Russia,5.648,64.6863136,97.7453061
68,Philippines,5.631,12.7503486,122.7312101
69,Serbia,5.603,44.1534121,20.55144
70,Moldova,5.529,47.2879608,28.5670941
71,Libya,5.525,26.8234472,18.1236723
72,Montenegro,5.523,42.9868853,19.5180992
73,Tajikistan,5.4670000000000005,38.6281733,70.8156541
74,Croatia,5.432,45.5643442,17.0118954
75,Hong Kong,5.43,22.2793278,114.1628131
76,Dominican Republic,5.425,19.0974031,-70.3028026
77,Bosnia and Herzegovina,5.386,44.3053476,17.5961467
78,Turkey,5.372999999999999,38.9597594,34.9249653
79,Malaysia,5.3389999999999995,4.5693754,102.2656823
80,Belarus,5.3229999999999995,53.4250605,27.6971358
81,Greece,5.287000000000001,38.9953683,21.9877132
82,Mongolia,5.285,46.8250388,103.8499736
83,North Macedonia,5.274,41.6171214,21.7168387
84,Nigeria,5.265,9.6000359,7.9999721
